id	effect	rawPval	adjPval	logAdjPval
P-hsa04340-32	1.2731359569759932	0.2029698014938377	0.8118792059753508	0.20840371100059113
P-hsa04340-33	0.5669211208973728	0.5707677737785042	0.9688788690091725	0.03161568108777934
P-hsa04340-51	1.0488909319623545	0.29422831953225326	0.8960389233491899	0.10977142571281469
P-hsa04340-52	0.8960742283039577	0.370213120288579	0.9175630905599331	0.08603393786445583
P-hsa04340-46	-0.8701802206799364	0.38420192333439207	0.9200826715137377	0.08329175263523043
P-hsa04340-20 22	0.16669489238365717	0.8676101245942782	1	-0
P-hsa04340-40	0.06453192310555962	0.9485466891140577	1	-0
P-hsa04350-32	-1.6455588552540457	0.09985461600568613	0.65499041827506	0.4231346720415786
P-hsa04350-34	-1.0468321459922472	0.295177001401812	0.8960389233491899	0.10977142571281469
P-hsa04350-21	0.13527618466105074	0.8923935138685104	1	-0
P-hsa04350-10	1.4270785498513856	0.1535572545533035	0.7326766396861807	0.3110508208327603
P-hsa04350-11	0.6017061946449684	0.5473697258169279	0.9622302394427007	0.038501522812255405
P-hsa04350-41	2.2817221513795416	0.02250574942221606	0.4308243460824217	0.8420548216420934
P-hsa04360-19	-0.24129818786869178	0.8093240152751222	1	-0
P-hsa04360-131	-0.34261791317568924	0.731885924123103	1	-0
P-hsa04360-31	-0.4444162902667003	0.6567416378725901	0.9880090718917233	0.012063399199781262
P-hsa04360-20	1.294490723365276	0.19549597152191822	0.7972835708154752	0.22654486571198812
P-hsa04360-59	0.26235420110444824	0.7930483784975462	1	-0
P-hsa04360-123	-1.355333072961617	0.17531146233333694	0.7702936949093737	0.2609834148970463
P-hsa04360-29	0.13005377172604451	0.8965238842178382	1	-0
P-hsa04360-51	0.27667348144695353	0.7820308360101254	1	-0
P-hsa04360-6	-0.21641699241330944	0.828662722074355	1	-0
P-hsa04360-58	0.011963682347521891	0.9904545902703701	1	-0
P-hsa04360-108	-0.23883328613159857	0.8112348584036391	1	-0
P-hsa04360-111	1.4228702714638002	0.1547737656466608	0.7350774287421156	0.3077794400903511
P-hsa04360-21	0.7201007906405242	0.47146294075881223	0.9445820135941854	0.05701276299488108
P-hsa04360-114	0.013480692178139828	0.9892442896139721	1	-0
P-hsa04360-4	-0.681262394788672	0.49570547363152473	0.9573762062248276	0.043558854823858587
P-hsa04360-3	-0.45916413667467143	0.6461163022524714	0.9880090718917233	0.012063399199781262
P-hsa04360-82	-1.9984649023539396	0.045666281365027483	0.5453325405332622	0.6063595042784726
P-hsa04360-81	-1.5316091546545625	0.12561891207691245	0.6733573730479254	0.39547907534589316
P-hsa04360-96	0.5500739584621296	0.5822686474082159	0.9701030040300294	0.03035302340075818
P-hsa04360-89	-0.18465894341923111	0.8534965506871766	1	-0
P-hsa04360-101 103	2.08659002625068	0.03692520962813628	0.5014431764558767	0.6902649851666353
P-hsa04360-125	-1.6509508944660263	0.0987486022872921	0.65499041827506	0.4231346720415786
P-hsa04360-40 142	0.2170748771947429	0.8281499922532971	1	-0
P-hsa04360-40 139	-0.40115003671857186	0.6883096633960719	1	-0
P-hsa04360-11	-1.5440225505903542	0.12258286969546606	0.6733573730479254	0.39547907534589316
P-hsa04360-145	-1.5704549600524644	0.11630930486655622	0.672849088197011	0.3962342119311057
P-hsa04360-33 134	-1.3521393086258637	0.17633075449550084	0.7702936949093737	0.2609834148970463
P-hsa04360-35	0.4989429274062707	0.6178195912635429	0.9879522749070364	0.012120887150944391
P-hsa04360-18	-0.4533700071258596	0.6502823298926126	0.9880090718917233	0.012063399199781262
P-hsa04360-117	2.13061474765283	0.03312089359532511	0.4854280967564836	0.7227241036473151
P-hsa04360-122	-2.1026299613869908	0.0354981287630618	0.5014431764558767	0.6902649851666353
P-hsa04370-16	-0.40093873073681074	0.6884652336744468	1	-0
P-hsa04370-36	-0.28701608699573283	0.7741000025855336	1	-0
P-hsa04370-37	0.41264327808313456	0.6798679882583178	1	-0
P-hsa04370-38	1.2871696007292137	0.19803518039043966	0.8058871982916807	0.21581149876148392
P-hsa04370-39	-0.4268497957973934	0.6694887343717868	0.998016720771482	0.0019852485309824175
P-hsa04370-14	-0.03578936708378817	0.9714503114747854	1	-0
P-hsa04370-15	-0.21065822251425462	0.833153976596674	1	-0
P-hsa04370-28	0.05860993603658694	0.953262796476948	1	-0
P-hsa04370-23	-0.5519615925306902	0.5809746677461758	0.9701030040300294	0.03035302340075818
P-hsa04370-25	-0.34050567333595805	0.7334757510729171	1	-0
P-hsa04380-32	0.1625709869709681	0.8708562320922884	1	-0
P-hsa04380-72	-0.2479382759334245	0.8041821644022775	1	-0
P-hsa04380-69	-0.03123205460143642	0.9750844765020308	1	-0
P-hsa04380-38	0.4057732017900465	0.6849092506723404	1	-0
P-hsa04380-16	-0.10133482066157874	0.919284675560248	1	-0
P-hsa04380-20	-0.23154266157989237	0.8168932465867582	1	-0
P-hsa04380-48	-2.5007847662657343	0.012391846386249794	0.3754950794287909	0.9795099119149625
P-hsa04380-51	0.2151562722707731	0.829645482160307	1	-0
P-hsa04380-68	-0.4978286747180515	0.618604803172861	0.9879522749070364	0.012120887150944391
P-hsa04390-17 51	0.6470402944498681	0.5176058651418376	0.9612435042168058	0.03952751582693077
P-hsa04390-14	1.586232971767587	0.11268647089595185	0.672849088197011	0.3962342119311057
P-hsa04390-13	1.5526265941717448	0.1205123684131264	0.6728607236399557	0.3962169192832514
P-hsa04390-95	0.750758090335448	0.4527982558169157	0.941828167789448	0.0599324331579995
P-hsa04390-52	0.24916283029457695	0.8032348299795131	1	-0
P-hsa04390-96	-0.04941158733338075	0.9605912940858969	1	-0
P-hsa04390-90	0.6860154593249842	0.4927033598624999	0.9573762062248276	0.043558854823858587
P-hsa04390-12	1.5052991603057737	0.13224718098888144	0.687245738324492	0.37506335301167687
